tag,class,text_preview,is_valid,type
p,w-post-elm product_field price usg_product_field_4 has_text_color,$ 13.586,00,
span,woocommerce-Price-amount amount,13.586,00,
h2,w-post-elm post_title usg_post_title_2 has_text_color woocommerce-loop-product__title color_link_inherit,PARLANTE GENIUS SP-HF180 6W USB WOOD,,
div,w-post-elm product_field sku usg_product_field_2 has_text_color product_meta,SKU: PAR023,,
span,sku,PAR023,,
p,w-post-elm product_field price usg_product_field_4 has_text_color,$ 13.630,00,
span,woocommerce-Price-amount amount,13.630,00,
h2,w-post-elm post_title usg_post_title_2 has_text_color woocommerce-loop-product__title color_link_inherit,AURICULARES JBL T110 NEGRO,,
div,w-post-elm product_field sku usg_product_field_2 has_text_color product_meta,SKU: AUR124,,
span,sku,AUR124,,
p,w-post-elm product_field price usg_product_field_4 has_text_color,$ 13.690,00,
span,woocommerce-Price-amount amount,13.690,00,
div,g-loadmore ,Cargar más,,
li,menu-item menu-item-type-custom menu-item-object-custom menu-item-2930,Av. S. Martín 1758 Local 2,C1416 CABA,
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-187,Seguimiento de Pedidos,,
li,menu-item menu-item-type-post_type menu-item-object-page menu-item-7699,Libro de Quejas Online,,
div,wpb_text_column,PC ARMADAS,,
div,wpb_text_column,COMBOS,,
ul,menu,CombosCombo AMDCombo INTEL,,
li,menu-item menu-item-type-taxonomy menu-item-object-product_cat menu-item-207,Combo AMD,,
li,menu-item menu-item-type-taxonomy menu-item-object-product_cat menu-item-208,Combo INTEL,,
ul,menu,Placas de VideoPlacas de Video AMDPlacas de Video Nvidia,,
ul,menu,MotherboardsMotherboards AMDMotherboards INTEL,,
ul,menu,AuricularesCamaras WebJoystickMicrófonosMouseParlantesTecladosVolantes,,
li,menu-item menu-item-type-taxonomy menu-item-object-product_cat menu-item-217,Camaras Web,,
button,w-tabs-section-header,COMBOS ACTUALIZACIÓN,,
div,l-section-h i-cf,Desarrollo web por,,
a,account_utilities_classes,O podés registrarte,,
ul,list-subitems,MALLAS / CORREAS,,
ul,list-subitems,BLUETOOTH,,
ul,list-subitems,RETRO,,
ul,list-subitems,CUIDADO PERSONAL,,
ul,list-subitems,AA,,
ul,list-subitems,SMARTWATCH,,
ul,list-subitems,ROBOT ASPIRADORAS ,,
ul,list-subitems,SWITCH,,
ul,list-subitems,LLAVEROS FUNKO,,
ul,list-subitems,MINI PCS,,
ul,list-subitems,VOLANTES,,
div,col-auto,Entendido,,
div,js-modal   modal modal-bottom modal-bottom-sheet h-auto overflow-none modal-body-scrollable-auto modal-bottom modal--md transition-slide modal-centered-md m-0 p-0 modal-full-width modal-md-width-400px transition-soft ,¡Descuento exclusivo!,,
div,modal-header,ACCESORIOS SMARTWATCH,,
div,modal-header,AURICULARES.,,
div,modal-header,HOGAR,,
div,modal-header,JOYSTICK / GAMEPAD,,
div,modal-header,COMPUTADORAS / PC,,
a,ml-1,Crear cuenta,,
div,js-visible-on-cart-filled,¡Genial! Tenés envío gratis,,
div,ship-free-rest-text bar-progress-amount transition-soft,¡Estás a  de tener envío gratis!,,
span,text-accent,envío gratis,,
div,ship-free-rest-text bar-progress-condition transition-soft,Envío gratis superando los $100.000,00,
span,js-promo-discount,Descuento,,
span,col-12 ,O,,
div,d-md-none text-right font-small mb-1,246 productos,,
a,js-apply-sort radio-button radio-button-item ,Precio: Mayor a Menor,,
a,js-apply-sort radio-button radio-button-item ,Más Nuevo al más Viejo,,
a,js-apply-sort radio-button radio-button-item ,Más Viejo al más Nuevo,,
a,js-apply-sort radio-button radio-button-item selected,Más Vendidos,,
li,mb-2 pb-md-1,KIT GAMER,,
li,mb-2 pb-md-1,Digitalizadoras,,
li,mb-2 pb-md-1,KEYCAPS,,
li,mb-2 pb-md-1,KIT,,
li,mb-2 pb-md-1,SWITCHES,,
li,mb-2 pb-md-1,STREAM,,
li,mb-2 pb-md-1,MIXER SONIDO,,
span,checkbox ,Dualsense (6),,
span,checkbox ,Haxly (1),,
span,checkbox ,Hot Sale (1),,
span,checkbox ,Logitech (2),,
span,checkbox ,Maono (5),,
span,ml-1,(5),,
span,checkbox ,Redragon (141),,
span,ml-1,(141),,
span,checkbox ,Redragon T-Dagger (2),,
span,checkbox ,Sony (9),,
span,checkbox ,T-Dagger (49),,
span,ml-1,(49),,
span,checkbox ,Vsg (4),,
span,checkbox ,Xbox (8),,
span,ml-1,(8),,
span,checkbox ,Xp-Pen (8),,
span,checkbox ,Xppen (1),,
div,js-item-description item-description,Auriculares T-Dagger URAL black T-TRGH202,,
div,labels d-inline-block align-text-top mb-2,-37%,,
span,js-offer-percentage,37,,
span,label-offer-percentage-text ,OFF,,
span,js-price-display item-price mr-1  font-weight-bold,$20.999,00,
span,js-compare-price-display price-compare mt-1 ml-0,$33.585,36,
span,js-payment-discount-price-product payment-discount-price-product ,$18.899,10,
div,js-item-description item-description,Mouse T-Dagger Sergeant black T-TGM202,,
span,js-price-display item-price mr-1  font-weight-bold,$16.792,08,
span,js-payment-discount-price-product payment-discount-price-product ,$15.112,87,
div,js-item-description item-description,Mouses Redragon M916P-PRO-4K K1NG PRO 4K,2.4G/BT/wired Blanco,
span,js-price-display item-price mr-1  font-weight-bold,$72.951,32,
span,js-payment-discount-price-product payment-discount-price-product ,$65.656,19,
span,js-installment-price product-installment-value,$24.317,11,
div,js-item-description item-description,Auriculares T-Dagger Cook con adapatador T-RGH100-1,,
div,labels d-inline-block align-text-top mb-2,-46%,,
span,js-offer-percentage,46,,
span,js-price-display item-price mr-1  font-weight-bold,$13.999,00,
span,js-compare-price-display price-compare mt-1 ml-0,$26.076,37,
span,js-payment-discount-price-product payment-discount-price-product ,$12.599,10,
div,js-item-description item-description,Mouses Redragon M711-W Cobra Blanco,,
span,js-price-display item-price mr-1  font-weight-bold,$24.521,19,
span,js-payment-discount-price-product payment-discount-price-product ,$22.069,07,
div,js-item-description item-description,Webcams Redragon Hitman 1080p GW800-1,,
span,js-price-display item-price mr-1  font-weight-bold,$60.415,32,
span,js-payment-discount-price-product payment-discount-price-product ,$54.373,79,
span,js-installment-price product-installment-value,$20.138,44,
div,js-item-description item-description,TECLADO REDRAGON EISA K686WB-RGB-PRO,,
span,js-price-display item-price mr-1  font-weight-bold,$91.078,70,
span,js-payment-discount-price-product payment-discount-price-product ,$81.970,83,
span,js-installment-price product-installment-value,$30.359,57,
div,js-item-description item-description,Teclado Mecánico Redragon Fidd K683 Color Blanco Naranja Negro Led Rgb Switches Magneticos 8khz Poll,,
span,js-price-display item-price mr-1  font-weight-bold,$94.676,40,
span,js-payment-discount-price-product payment-discount-price-product ,$85.208,76,
span,js-installment-price product-installment-value,$31.558,80,
div,js-item-description item-description,PADS PARA MOUSE REDRAGON PISCES U P016,,
span,js-price-display item-price mr-1  font-weight-bold,$6.220,37,
span,js-payment-discount-price-product payment-discount-price-product ,$5.598,33,
div,js-item-description item-description,REDRAGON COMBO WIRELESS S136,,
div,js-item-description item-description,Mouses T-Dagger Imperial Negro T-TGM310,,
span,js-price-display item-price mr-1  font-weight-bold,$19.728,91,
span,js-payment-discount-price-product payment-discount-price-product ,$17.756,02,
div,js-item-description item-description,JOYSTICK REDRAGON G710 RIFT PC - PS3 - N-SWITCH,,
span,js-price-display item-price mr-1  font-weight-bold,$33.071,62,
span,js-payment-discount-price-product payment-discount-price-product ,$29.764,46,
span,js-installment-price product-installment-value,$11.023,87,
div,js-item-description item-description,Kit Redragon M601WL-BA,,
span,js-price-display item-price mr-1  font-weight-bold,$19.976,72,
span,js-payment-discount-price-product payment-discount-price-product ,$17.979,05,
div,js-item-description item-description,Mouses T-Dagger Lieutenant Negro T-TGM301RGB,,
span,js-price-display item-price mr-1  font-weight-bold,$22.125,88,
span,js-payment-discount-price-product payment-discount-price-product ,$19.913,29,
div,js-item-description item-description,Gamepad T-dagger TGP802 Scorpio Pc / Ps4 Negro,,
span,js-price-display item-price mr-1  font-weight-bold,$47.652,34,
span,js-payment-discount-price-product payment-discount-price-product ,$42.887,11,
span,js-installment-price product-installment-value,$15.884,11,
div,js-item-description item-description,Teclados T-Dagger Tanker Negro T-TGK106,,
span,js-price-display item-price mr-1  font-weight-bold,$13.193,52,
span,js-payment-discount-price-product payment-discount-price-product ,$11.874,17,
div,js-item-description item-description,Auriculares Redragon Ire H848 Blanco/Azul,,
span,js-price-display item-price mr-1  font-weight-bold,$70.497,50,
span,js-payment-discount-price-product payment-discount-price-product ,$63.447,75,
span,js-installment-price product-installment-value,$23.499,17,
div,js-item-description item-description,Gamepad T-dagger TGP802 W Scorpio Pc / Ps4 Blanco,,
div,js-item-description item-description,PADS PARA MOUSE T-DAGGER GEOMETRY S T-TMP101,,
span,js-price-display item-price mr-1  font-weight-bold,$8.479,92,
span,js-payment-discount-price-product payment-discount-price-product ,$7.631,93,
div,js-item-description item-description,Teclados Redragon Azure K652GG-RGB-PRO,,
span,js-price-display item-price mr-1  font-weight-bold,$99.836,26,
span,js-payment-discount-price-product payment-discount-price-product ,$89.852,63,
span,js-installment-price product-installment-value,$33.278,75,
div,js-item-description item-description,Mouses Redragon M711 Cobra Negro,,
div,js-item-description item-description,Mouses Redragon M917GB-PRO STAR PRO 2.4G/BT/wired mouse,,
span,js-price-display item-price mr-1  font-weight-bold,$47.290,86,
span,js-payment-discount-price-product payment-discount-price-product ,$42.561,77,
span,js-installment-price product-installment-value,$15.763,62,
div,js-item-description item-description,Pads para Mouse Redragon Kunlun L P006A,,
span,js-price-display item-price mr-1  font-weight-bold,$27.887,98,
span,js-payment-discount-price-product payment-discount-price-product ,$25.099,18,
div,js-product-item-more-images-message-private product-item-more-images-message item-more-images-message,+4 fotos,,
div,js-item-description item-description,Teclado Gamer Redragon K616 Fizz Rgb Pro Blanco/gris Idioma Español,,
span,js-price-display item-price mr-1  font-weight-bold,$65.629,21,
span,js-payment-discount-price-product payment-discount-price-product ,$59.066,29,
span,js-installment-price product-installment-value,$21.876,40,
div,js-item-description item-description,Auriculares Redragon Ire H848 Blanco/Gris,,
div,js-item-description item-description,Teclado Gamer Redragon Fizz Rgb K617ct Transparente Claro Inglés 60%,Cableado,
span,js-price-display item-price mr-1  font-weight-bold,$53.018,78,
span,js-payment-discount-price-product payment-discount-price-product ,$47.716,90,
span,js-installment-price product-installment-value,$17.672,93,
div,js-product-item-more-images-message-private product-item-more-images-message item-more-images-message,+2 fotos,,
div,js-item-description item-description,TECLADO REDRAGON UCAL PRO - K673CPG-RGB-PRO (CREAM,PURPLE,GREEN)
span,js-price-display item-price mr-1  font-weight-bold,$90.889,34,
span,js-payment-discount-price-product payment-discount-price-product ,$81.800,41,
span,js-installment-price product-installment-value,$30.296,45,
span,js-price-display item-price mr-1  font-weight-bold,$33.589,99,
span,js-payment-discount-price-product payment-discount-price-product ,$30.230,99,
span,js-installment-price product-installment-value,$11.196,66,
div,js-item-description item-description,Teclados Redragon Horus TKL Blanco red switch Español inalambrico K621W-RGB-SP,,
span,js-price-display item-price mr-1  font-weight-bold,$99.118,30,
span,js-payment-discount-price-product payment-discount-price-product ,$89.206,47,
span,js-installment-price product-installment-value,$33.039,43,
div,js-item-description item-description,Auriculares Gamer Zeus X H510-RGB Negro,,
span,js-price-display item-price mr-1  font-weight-bold,$104.522,92,
span,js-payment-discount-price-product payment-discount-price-product ,$94.070,63,
span,js-installment-price product-installment-value,$34.840,97,
div,js-item-description item-description,KIT002 T-DAGGER TECLADO + AURICULAR + MOUSE 3 IN 1,,
div,labels d-inline-block align-text-top mb-2,-33%,,
span,js-offer-percentage,33,,
span,js-price-display item-price mr-1  font-weight-bold,$39.556,00,
span,js-compare-price-display price-compare mt-1 ml-0,$58.911,29,
span,js-payment-discount-price-product payment-discount-price-product ,$35.600,40,
span,js-installment-price product-installment-value,$13.185,33,
div,js-item-description item-description,Teclado Redragon Eisa K686wgb-rgb-max Wireless Ingles Verde,,1
div,js-item-description item-description,Teclado Gamer Inalámbrico Redragon Ucal Max K673wpb Mecánico Switches Mint Mambo Inglés Color Blanco,,
span,js-price-display item-price mr-1  font-weight-bold,$98.463,46,
span,js-payment-discount-price-product payment-discount-price-product ,$88.617,11,
span,js-installment-price product-installment-value,$32.821,15,
div,js-item-description item-description,PADS PARA MOUSE REDRAGON FLICK S P029,,
span,js-price-display item-price mr-1  font-weight-bold,$6.032,46,
span,js-payment-discount-price-product payment-discount-price-product ,$5.429,21,
div,js-item-description item-description,Teclado Gamer Redragon K686ak Eisa Rgb Pro Negro Y Blanco Anime,,
span,js-price-display item-price mr-1  font-weight-bold,$108.593,83,
span,js-payment-discount-price-product payment-discount-price-product ,$97.734,45,
span,js-installment-price product-installment-value,$36.197,94,
div,js-item-description item-description,Pads para Mouse Redragon Flick M P030,,
span,js-price-display item-price mr-1  font-weight-bold,$9.330,55,
span,js-payment-discount-price-product payment-discount-price-product ,$8.397,50,
div,js-item-description item-description,Teclados Redragon Horus TKL Negro red switch Español Cableado K622-RGB-SP,,
span,js-price-display item-price mr-1  font-weight-bold,$83.058,03,
span,js-payment-discount-price-product payment-discount-price-product ,$74.752,23,
span,js-installment-price product-installment-value,$27.686,01,
div,js-item-description item-description,Teclados Redragon Fizz Pro Gris/Blanco red switch Español wireless K616-RGB,,
div,js-item-description item-description,Teclados Redragon Horus TKL Blanco red switch Español Cableado K622W-RGB-SP,,
span,js-price-display item-price mr-1  font-weight-bold,$76.945,09,
span,js-payment-discount-price-product payment-discount-price-product ,$69.250,58,
span,js-installment-price product-installment-value,$25.648,36,
div,js-item-description item-description,Auriculares Redragon Icon Negro H520,,
span,js-price-display item-price mr-1  font-weight-bold,$93.305,52,
span,js-payment-discount-price-product payment-discount-price-product ,$83.974,97,
span,js-installment-price product-installment-value,$31.101,84,
div,js-product-item-more-images-message-private product-item-more-images-message item-more-images-message,+14 fotos,,
div,js-item-description item-description,Teclados Redragon Horus red switch FS Cableado k619-rgb-sp Blanco,,
span,js-price-display item-price mr-1  font-weight-bold,$92.778,14,
span,js-payment-discount-price-product payment-discount-price-product ,$83.500,33,
span,js-installment-price product-installment-value,$30.926,05,
div,js-item-description item-description,Kit de Teclado y Mouse Teclados Redragon 4en1 (K515RGB+ M724+H211+P016) S147-SP,,
span,js-price-display item-price mr-1  font-weight-bold,$69.768,62,
span,js-payment-discount-price-product payment-discount-price-product ,$62.791,76,
span,js-installment-price product-installment-value,$23.256,21,
div,js-item-description item-description,Kit de Teclado y Mouse Redragon K552RGB y Mouse M724 - S145,,
span,js-price-display item-price mr-1  font-weight-bold,$66.381,28,
span,js-payment-discount-price-product payment-discount-price-product ,$59.743,15,
span,js-installment-price product-installment-value,$22.127,09,
div,js-item-description item-description,Kit de Teclado y Mouse Redragon S146-SP Teclado K668 (full size) + M724,,
span,js-price-display item-price mr-1  font-weight-bold,$75.135,43,
span,js-payment-discount-price-product payment-discount-price-product ,$67.621,89,
span,js-installment-price product-installment-value,$25.045,14,
div,js-item-description item-description,KIT111 TECLADO REDRAGON EISA K686WGB-RGB-MAX + MOUSES CON CABLE REDRAGON KING - M724 NEGRO,,
div,labels d-inline-block align-text-top mb-2,-12%,,
span,js-price-display item-price mr-1  font-weight-bold,$106.039,00,
span,js-compare-price-display price-compare mt-1 ml-0,$119.951,00,
span,js-payment-discount-price-product payment-discount-price-product ,$95.435,10,
span,js-installment-price product-installment-value,$35.346,33,
div,js-item-description item-description,KIT110 TECLADOS REDRAGON FIZZ PRO BLANCO/GRIS + AURICULARES IRE H848 BLANCO/GRIS,,
div,labels d-inline-block align-text-top mb-2,-4%,,
span,js-price-display item-price mr-1  font-weight-bold,$129.999,00,
span,js-compare-price-display price-compare mt-1 ml-0,$134.945,00,
span,js-payment-discount-price-product payment-discount-price-product ,$116.999,10,
span,js-installment-price product-installment-value,$43.333,00,
div,js-item-description item-description,KIT109 TECLADO REDRAGON EISA K686WGB-RGB-MAX + PADS FLICK L P031,,
div,labels d-inline-block align-text-top mb-2,-6%,,
span,js-price-display item-price mr-1  font-weight-bold,$99.979,00,
span,js-compare-price-display price-compare mt-1 ml-0,$106.258,32,
span,js-payment-discount-price-product payment-discount-price-product ,$89.981,10,
span,js-installment-price product-installment-value,$33.326,33,
div,js-item-description item-description,KIT108 TECLADOS REDRAGON FIZZ PRO GRIS/BLANCO + AURICULARES IRE H848 BLANCO/GRIS,,
div,font-small text-uppercase font-weight-bold col p-3,Datos de interés,,
li,footer-menu-item,5492233007650,,
li,footer-menu-item,Bestoso 336,Mar del Plata,
div,row text-center,By A&R Shop,,
div,marquesina-wrapper,Aprovechá las 3 cuotas presenciales con Banco Galicia!Aprovechá las 3 cuotas presenciales con Banco ,,
span,marquesina-texto,Aprovechá las 3 cuotas presenciales con Banco Galicia!,,
div,panel panel-default panel-rose ,Cámaras Web/Seguridad (5),,
a,menu-item waves-effect waves-light,Capturadoras de Video (5),,
a,menu-item waves-effect waves-light,Colectores de Datos  (5),,
a,menu-item waves-effect waves-light,Combos (5),,
a,menu-item waves-effect waves-light,Hub USB (5),,
a,menu-item waves-effect waves-light,Joysticks (5),,
a,menu-item waves-effect waves-light,Mouse Gamer (5),,
a,menu-item waves-effect waves-light,Mouse Pad (5),,
a,menu-item waves-effect waves-light,Punteros (5),,
a,menu-item waves-effect waves-light,Tabletas Digitalizadoras (5),,
a,menu-item waves-effect waves-light,Teclados (5),,
a,menu-item waves-effect waves-light,Teclados Gamer (5),,
h4,card-title mh-n  mt-4 ,TIPO DE CÁMARA,,
h4,card-title mh-n  mt-4 ,Conexión,,
h4,card-title mh-n  mt-4 ,Tipo de Teclado,,
div,col-lg-12 px-0 mansory **,Consulte si Llega HOY o LUNES                                           ,,
div,view overlay px-20 imagen,Consulte si Llega HOY o LUNES,,
div,card-body px-3 pb-0 pt-0,194054                                                    ,,
span,pull-left articulo_field,194054,,
span,pull-right,Bajo stock,,
h4,card-title mb-1 h-40*,Toner Alternativo Negro  126 Ce310a - Ce313a,,
div,card-footer justify-content-between p-0,$6.434$6.499$5.993Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$6.499,,
h4,mt-0 pecio_final ft,$5.993Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-2163 marca_344 fil_cable,cable| marca_344                						,,
span,filtros_cucarda,cable| marca_344,,
div,card-body px-3 pb-0 pt-0,PHILIPSMOUSEM101PK                                                    ,,
span,pull-left articulo_field,PHILIPSMOUSEM101PK,,
h4,card-title mb-1 h-40*,Mouse Óptico Philips M101  1000 Dpi Cable Usb Pc Notebook,,
div,card-footer justify-content-between p-0,$6.498$6.563,2$6.053Precio especial,
h6,mb-0 ft solo_web show  tachado_0,$6.563,2,
h4,mt-0 pecio_final ft,$6.053Precio especial,,
div,card-body px-3 pb-0 pt-0,PHILIPS-SPK7214U                                                    ,,
span,pull-left articulo_field,PHILIPS-SPK7214U,,
h4,card-title mb-1 h-40*,Mouse Philips M214 Cable 1.5mts Usb 1000dpi Spk7214u Color A,,
div,card-footer justify-content-between p-0,$6.643$6.709,7$6.188Precio especial,
h6,mb-0 ft solo_web show  tachado_0,$6.709,7,
h4,mt-0 pecio_final ft,$6.188Precio especial,,
div,card-body px-3 pb-0 pt-0,PHILIPS-SPK7214R                                                    ,,
span,pull-left articulo_field,PHILIPS-SPK7214R,,
h4,card-title mb-1 h-40*,Mouse Philips M214 Cable 1.5mts Usb 1000dpi Spk7214r Color R,,
div,col-md-3 listado- pull-left prod-cat cat-2163 marca_312 fil_cable,cable| marca_312                						,,
span,filtros_cucarda,cable| marca_312,,
div,card-body px-3 pb-0 pt-0,910-004053                                                    ,,
span,pull-left articulo_field,910-004053,,
h4,card-title mb-1 h-40*,Mouse Con Cable Logitech  M90 Negro Acuario,,
div,card-footer justify-content-between p-0,$7.252$7.325$6.755Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$7.325,,
h4,mt-0 pecio_final ft,$6.755Precio especial,,
div,card-body px-3 pb-0 pt-0,PHILIPSMOUSEM234BK                                                    ,,
span,pull-left articulo_field,PHILIPSMOUSEM234BK,,
h4,card-title mb-1 h-40*,Mouse Philips M234 Usb 1000dpi Pc Notebook Insumos Acuario,,
div,card-footer justify-content-between p-0,$7.426$7.500,8$6.917Precio especial,
h4,mt-0 pecio_final ft,$6.917Precio especial,,
h4,card-title mb-1 h-40*,Mouse Optico Hd Usb Logitech M90 1000dpi Cable Garantia Ofic,,
div,card-footer justify-content-between p-0,$8.776$8.865$8.175Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$8.865,,
h4,mt-0 pecio_final ft,$8.175Precio especial,,
h4,card-title mb-1 h-40*,Logitech M90 Negro 910-004053,,
div,col-md-3 listado- pull-left prod-cat cat-2164 marca_344 fil_cable fil_membrana,cable | membrana| marca_344                						,,
span,filtros_cucarda,cable | membrana| marca_344,,
div,card-body px-3 pb-0 pt-0,PHILIPSPADNUMBERK106BK                                                    ,,
span,pull-left articulo_field,PHILIPSPADNUMBERK106BK,,
h4,card-title mb-1 h-40*,Teclado Numerico Philips K106 Numpad Usb Pc Notebook Color D,,
div,card-footer justify-content-between p-0,$9.833$9.932,7$9.159Precio especial,
h6,mb-0 ft solo_web show  tachado_0,$9.932,7,
h4,mt-0 pecio_final ft,$9.159Precio especial,,
div,card-body px-3 pb-0 pt-0,910-006755                                                    ,,
span,pull-left articulo_field,910-006755,,
h4,card-title mb-1 h-40*,Mouse Optico Logitech M110 Silencioso Usb Windows Mac,,
div,card-footer justify-content-between p-0,$10.117$10.219$9.424Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$10.219,,
h4,mt-0 pecio_final ft,$9.424Precio especial,,
div,card-body px-3 pb-0 pt-0,910-001601                                                    ,,
span,pull-left articulo_field,910-001601,,
h4,card-title mb-1 h-40*,Mouse Con Cable Logitech  M100 Negro Acuario,,
div,card-footer justify-content-between p-0,$10.216$10.319$9.516Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$10.319,,
h4,mt-0 pecio_final ft,$9.516Precio especial,,
div,card-body px-3 pb-0 pt-0,910-006662                                                    ,,
span,pull-left articulo_field,910-006662,,
h4,card-title mb-1 h-40*,Mouse Usb Logitech Silent M110s Azul 1000dpi Acuario,,
div,card-footer justify-content-between p-0,$10.427$10.532$9.713Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$10.532,,
h4,mt-0 pecio_final ft,$9.713Precio especial,,
div,card-body px-3 pb-0 pt-0,910-006756                                                    ,,
span,pull-left articulo_field,910-006756,,
h4,card-title mb-1 h-40*,Mouse Optico Logitech M110 Silencioso Usb Windows Mac Negro,,
div,card-body px-3 pb-0 pt-0,PHILIPSMOUSEM211WIRELESSPK                                                    ,,
span,pull-left articulo_field,PHILIPSMOUSEM211WIRELESSPK,,
h4,card-title mb-1 h-40*,Mouse Inalambrico Usb Philips M211  1000dpi Pc Notebook,,
div,card-footer justify-content-between p-0,$10.486$10.591,95$9.768Precio especial,
h6,mb-0 ft solo_web show  tachado_0,$10.591,95,
h4,mt-0 pecio_final ft,$9.768Precio especial,,
div,card-body px-3 pb-0 pt-0,910-006757                                                    ,,
span,pull-left articulo_field,910-006757,,
h4,card-title mb-1 h-40*,Mouse Logitech  M110 Gris Silencioso Usb Ambidiestro Acuario,,
div,card-footer justify-content-between p-0,$10.921$11.031,45$10.173Precio especial,
h6,mb-0 ft solo_web show  tachado_0,$11.031,45,
h4,mt-0 pecio_final ft,$10.173Precio especial,,
div,card-body px-3 pb-0 pt-0,PHILIPS-SPK7213                                                    ,,
span,pull-left articulo_field,PHILIPS-SPK7213,,
h4,card-title mb-1 h-40*,Mouse Con Cable Philips M213 Negro,,
div,card-footer justify-content-between p-0,$11.095$11.207,25$10.335Precio especial,
h6,mb-0 ft solo_web show  tachado_0,$11.207,25,
h4,mt-0 pecio_final ft,$10.335Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-2163 marca_344 fil_inalambrico,inalambrico| marca_344                						,,
span,filtros_cucarda,inalambrico| marca_344,,
div,card-body px-3 pb-0 pt-0,PHILIPSMOUSEM344WIRELESSBK                                                    ,,
span,pull-left articulo_field,PHILIPSMOUSEM344WIRELESSBK,,
h4,card-title mb-1 h-40*,Mouse Inalámbrico Usb Philips M344 Pc Notebook Ins Acuario,,
div,card-footer justify-content-between p-0,$11.124$11.236,55$10.362Precio especial,
h6,mb-0 ft solo_web show  tachado_0,$11.236,55,
h4,mt-0 pecio_final ft,$10.362Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-2163 marca_312 fil_inalambrico,inalambrico| marca_312                						,,
span,filtros_cucarda,inalambrico| marca_312,,
div,card-body px-3 pb-0 pt-0,910-004941                                                    ,,
span,pull-left articulo_field,910-004941,,
h4,card-title mb-1 h-40*,Mouse Inalámbrico Logitech M170 Pc Notebook Mac Rojo Acuario,,
div,card-footer justify-content-between p-0,$11.313$11.427$10.538Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$11.427,,
h4,mt-0 pecio_final ft,$10.538Precio especial,,
div,card-body px-3 pb-0 pt-0,910-006864                                                    ,,
span,pull-left articulo_field,910-006864,,
h4,card-title mb-1 h-40*,Mouse Inalámbrico Logitech M170 Blanco,,
div,card-body px-3 pb-0 pt-0,MOUSEHPM150NEGRO                                                    ,,
span,pull-left articulo_field,MOUSEHPM150NEGRO,,
h4,card-title mb-1 h-40*,Mouse Gamer Hp M150 6 Botones Dpi Ajustable Hp Gaming Pc,,
div,card-footer justify-content-between p-0,$11.603$11.720$10.808Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$11.720,,
h4,mt-0 pecio_final ft,$10.808Precio especial,,
div,card-footer justify-content-between p-0,$11.991$12.112$11.170Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$12.112,,
h4,mt-0 pecio_final ft,$11.170Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-11713 marca_ fil_cable,cable| marca_                						,,
span,filtros_cucarda,cable| marca_,,
div,card-body px-3 pb-0 pt-0,QBOX-QBMG002-M942                                                    ,,
span,pull-left articulo_field,QBOX-QBMG002-M942,,
h4,card-title mb-1 h-40*,Mouse Gamer Qbox M942 Óptico 6400 Dpi Usb Color Negro,,
div,card-footer justify-content-between p-0,$12.128$12.250$11.297Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$12.250,,
h4,mt-0 pecio_final ft,$11.297Precio especial,,
div,col-md-3 listado- pull-left prod-cat cat-2164 marca_381 fil_inalambrico fil_membrana,inalambrico | membrana| marca_381                						,,
span,filtros_cucarda,inalambrico | membrana| marca_381,,
div,card-body px-3 pb-0 pt-0,7730737007272                                                    ,,
span,pull-left articulo_field,7730737007272,,
h4,card-title mb-1 h-40*,Mini Teclado Kolke Inalámbrico Retroiluminado Ket-1107,,
div,card-footer justify-content-between p-0,$12.211$12.334$11.375Precio especial,,
h6,mb-0 ft solo_web show  tachado_0,$12.334,,
h4,mt-0 pecio_final ft,$11.375Precio especial,,
div,card-body px-3 pb-0 pt-0,PHILIPS-SPK7364                                                    ,,
span,pull-left articulo_field,PHILIPS-SPK7364,,
h4,card-title mb-1 h-40*,Mouse Philips M364 Inalambrico - Oficina Pc Notebook,,
div,card-footer justify-content-between p-0,$12.212$12.335,3$11.375Precio especial,
h6,mb-0 ft solo_web show  tachado_0,$12.335,3,
div,col-md-3 listado- pull-left prod-cat cat-2163 marca_382 fil_inalambrico,inalambrico| marca_382                						,,
span,filtros_cucarda,inalambrico| marca_382,,
div,card-body px-3 pb-0 pt-0,MICROSOFT1850BK-U7Z-00008                                                    ,,
span,pull-left articulo_field,MICROSOFT1850BK-U7Z-00008,,
h4,card-title mb-1 h-40*,Mouse Inalámbrico Microsoft  Wireless Mobile 1850 Negro,,
div,card-footer justify-content-between p-0,$12.328$12.452,5$11.484Precio especial,
h6,mb-0 ft solo_web show  tachado_0,$12.452,5,
