tag,class,text_preview,type
a,,CROMINK CARTUCHO ALT. EPSON T0115,link
p,w-post-elm product_field price usg_product_field_3,"DISPONIBLE$ 1.653,91",price
span,stock-high,DISPONIBLE,is_stocked
span,woocommerce-Price-amount amount,"$ 1.653,91",price
span,w-text-h,FINANCIA EN 6 CUOTAS FIJAS,cuotas
span,w-text-value,FINANCIA EN 6 CUOTAS FIJAS,cuotas
img,attachment-us_1080_1080 size-us_1080_1080 wp-post-image,,image
span,w-post-elm post_title usg_post_title_1 has_text_color align_left woocommerce-loop-product__title color_link_inherit,CROMINK CARTUCHO ALT. EPSON T0901,title
a,,CROMINK CARTUCHO ALT. EPSON T0901,link
p,w-post-elm product_field price usg_product_field_3,"DISPONIBLE$ 1.653,91",price
span,stock-high,DISPONIBLE,is_stocked
span,woocommerce-Price-amount amount,"$ 1.653,91",price
span,w-text-h,FINANCIA EN 6 CUOTAS FIJAS,cuotas
span,w-text-value,FINANCIA EN 6 CUOTAS FIJAS,cuotas
img,attachment-us_1080_1080 size-us_1080_1080 wp-post-image,,image
span,w-post-elm post_title usg_post_title_1 has_text_color align_left woocommerce-loop-product__title color_link_inherit,Cable Splitter PWM 1×4 Generico,title
a,,Cable Splitter PWM 1×4 Generico,link
p,w-post-elm product_field price usg_product_field_3,"DISPONIBLE$ 3.430,35",price
span,stock-high,DISPONIBLE,is_stocked
span,woocommerce-Price-amount amount,"$ 3.430,35",price
span,w-text-h,FINANCIA EN 6 CUOTAS FIJAS,cuotas
span,w-text-value,FINANCIA EN 6 CUOTAS FIJAS,cuotas
img,attachment-us_1080_1080 size-us_1080_1080 wp-post-image,,image
span,w-post-elm post_title usg_post_title_1 has_text_color align_left woocommerce-loop-product__title color_link_inherit,Cable cargador tipo C – 66w Carga rápida ref…,title
a,,Cable cargador tipo C – 66w Carga rápida ref…,link
p,w-post-elm product_field price usg_product_field_3,"DISPONIBLE$ 3.583,13",price
span,stock-high,DISPONIBLE,is_stocked
span,woocommerce-Price-amount amount,"$ 3.583,13",price
span,w-text-h,FINANCIA EN 6 CUOTAS FIJAS,cuotas
span,w-text-value,FINANCIA EN 6 CUOTAS FIJAS,cuotas
img,attachment-us_1080_1080 size-us_1080_1080 wp-post-image,,image
span,w-post-elm post_title usg_post_title_1 has_text_color align_left woocommerce-loop-product__title color_link_inherit,Adaptador Displayport A Hdmi 4k Full Hd Compatible…,title
a,,Adaptador Displayport A Hdmi 4k Full Hd Compatible…,link
p,w-post-elm product_field price usg_product_field_3,"DISPONIBLE$ 3.741,94",price
span,stock-high,DISPONIBLE,is_stocked
span,woocommerce-Price-amount amount,"$ 3.741,94",price
span,w-text-h,FINANCIA EN 6 CUOTAS FIJAS,cuotas
span,w-text-value,FINANCIA EN 6 CUOTAS FIJAS,cuotas
img,attachment-us_1080_1080 size-us_1080_1080 wp-post-image,,image
span,w-post-elm post_title usg_post_title_1 has_text_color align_left woocommerce-loop-product__title color_link_inherit,GENIUS ADAPTADOR USB-C A USB-A ASSY RS2 ACC-C2A,title
a,,GENIUS ADAPTADOR USB-C A USB-A ASSY RS2 ACC-C2A,link
p,w-post-elm product_field price usg_product_field_3,"DISPONIBLE$ 3.784,58",price
span,stock-high,DISPONIBLE,is_stocked
span,woocommerce-Price-amount amount,"$ 3.784,58",price
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro AMD Ryzen 3 3200G Vega 8,title
p,name product-title woocommerce-loop-product__title,Micro AMD Ryzen 3 3200G Vega 8,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro AMD Ryzen 3 3200G Vega 8,link
span,price,$86765.00,price
span,woocommerce-Price-amount amount,$86765.00,price
div,stock,2 Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Celeron G6900 LGA1700,title
p,name product-title woocommerce-loop-product__title,Micro Intel Celeron G6900 LGA1700,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Celeron G6900 LGA1700,link
div,price-wrapper,$101010.00 Stock disponible,is_stocked
span,price,$101010.00,price
span,woocommerce-Price-amount amount,$101010.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Pentium Gold G6405 1200,title
p,name product-title woocommerce-loop-product__title,Micro Intel Pentium Gold G6405 1200,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Pentium Gold G6405 1200,link
div,price-wrapper,$116550.00 Stock disponible,is_stocked
span,price,$116550.00,price
span,woocommerce-Price-amount amount,$116550.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Amd Ryzen 5 5500 AM4,title
p,name product-title woocommerce-loop-product__title,Micro Amd Ryzen 5 5500 AM4,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Amd Ryzen 5 5500 AM4,link
div,price-wrapper,$116550.00 Stock disponible,is_stocked
span,price,$116550.00,price
span,woocommerce-Price-amount amount,$116550.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core i3 12100F LGA1700,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core i3 12100F LGA1700,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core i3 12100F LGA1700,link
div,price-wrapper,$123025.00 Stock disponible,is_stocked
span,price,$123025.00,price
span,woocommerce-Price-amount amount,$123025.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core i3 13100F LGA1700,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core i3 13100F LGA1700,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core i3 13100F LGA1700,link
div,price-wrapper,$132090.00 Stock disponible,is_stocked
span,price,$132090.00,price
span,woocommerce-Price-amount amount,$132090.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Pentium G7400 LGA1700,title
p,name product-title woocommerce-loop-product__title,Micro Intel Pentium G7400 LGA1700,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Pentium G7400 LGA1700,link
div,price-wrapper,$142450.00 Stock disponible,is_stocked
span,price,$142450.00,price
span,woocommerce-Price-amount amount,$142450.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core i3 13100 LGA1700,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core i3 13100 LGA1700,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core i3 13100 LGA1700,link
div,price-wrapper,$186480.00 Stock disponible,is_stocked
span,price,$186480.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Amd Ryzen 5 5600GT Vega 7 AM4,title
p,name product-title woocommerce-loop-product__title,Micro Amd Ryzen 5 5600GT Vega 7 AM4,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Amd Ryzen 5 5600GT Vega 7 AM4,link
div,price-wrapper,$192307.50 Stock disponible,is_stocked
span,price,$192307.50,price
span,woocommerce-Price-amount amount,$192307.50,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro AMD Ryzen 5 8500G AM5,title
p,name product-title woocommerce-loop-product__title,Micro AMD Ryzen 5 8500G AM5,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro AMD Ryzen 5 8500G AM5,link
div,price-wrapper,$212380.00 Stock disponible,is_stocked
span,price,$212380.00,price
span,woocommerce-Price-amount amount,$212380.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Amd Ryzen 7 5700G Vega 8 AM4,title
p,name product-title woocommerce-loop-product__title,Micro Amd Ryzen 7 5700G Vega 8 AM4,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Amd Ryzen 7 5700G Vega 8 AM4,link
div,price-wrapper,$217560.00 Stock disponible,is_stocked
span,price,$217560.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core i5 14400F LGA1700,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core i5 14400F LGA1700,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core i5 14400F LGA1700,link
div,price-wrapper,$220150.00 Stock disponible,is_stocked
span,price,$220150.00,price
span,woocommerce-Price-amount amount,$220150.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core i5 12400 LGA1700,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core i5 12400 LGA1700,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core i5 12400 LGA1700,link
div,price-wrapper,$233100.00 Stock disponible,is_stocked
span,price,$233100.00,price
span,woocommerce-Price-amount amount,$233100.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core i5 14400 LGA1700,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core i5 14400 LGA1700,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core i5 14400 LGA1700,link
div,price-wrapper,$271950.00 Stock disponible,is_stocked
span,price,$271950.00,price
span,woocommerce-Price-amount amount,$271950.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro AMD Ryzen 5 8600G AM5,title
p,name product-title woocommerce-loop-product__title,Micro AMD Ryzen 5 8600G AM5,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro AMD Ryzen 5 8600G AM5,link
div,price-wrapper,$277130.00 Stock disponible,is_stocked
span,price,$277130.00,price
span,woocommerce-Price-amount amount,$277130.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro AMD Ryzen 5 7600 AM5,title
p,name product-title woocommerce-loop-product__title,Micro AMD Ryzen 5 7600 AM5,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro AMD Ryzen 5 7600 AM5,link
div,price-wrapper,$300440.00 Stock disponible,is_stocked
span,price,$300440.00,price
span,woocommerce-Price-amount amount,$300440.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core Ultra 5 225F LGA1851,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core Ultra 5 225F LGA1851,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core Ultra 5 225F LGA1851,link
div,price-wrapper,$300440.00 Stock disponible,is_stocked
span,price,$300440.00,price
span,woocommerce-Price-amount amount,$300440.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core Ultra 5 225 LGA1851,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core Ultra 5 225 LGA1851,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core Ultra 5 225 LGA1851,link
div,price-wrapper,$326340.00 Stock disponible,is_stocked
span,price,$326340.00,price
span,woocommerce-Price-amount amount,$326340.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro AMD Ryzen 7 8700G AM5,title
p,name product-title woocommerce-loop-product__title,Micro AMD Ryzen 7 8700G AM5,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro AMD Ryzen 7 8700G AM5,link
div,price-wrapper,$388500.00 Stock disponible,is_stocked
span,price,$388500.00,price
span,woocommerce-Price-amount amount,$388500.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core i7 12700 LGA1700,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core i7 12700 LGA1700,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core i7 12700 LGA1700,link
div,price-wrapper,$427350.00 Stock disponible,is_stocked
span,price,$427350.00,price
span,woocommerce-Price-amount amount,$427350.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro AMD Ryzen 7 7700X AM5,title
p,name product-title woocommerce-loop-product__title,Micro AMD Ryzen 7 7700X AM5,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro AMD Ryzen 7 7700X AM5,link
span,price,$498575.00,price
span,woocommerce-Price-amount amount,$498575.00,price
div,stock,2 Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core Ultra 7 265KF LGA1851,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core Ultra 7 265KF LGA1851,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core Ultra 7 265KF LGA1851,link
div,price-wrapper,$499870.00 Stock disponible,is_stocked
span,price,$499870.00,price
span,woocommerce-Price-amount amount,$499870.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core i7 14700 LGA1700,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core i7 14700 LGA1700,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core i7 14700 LGA1700,link
div,price-wrapper,$505050.00 Stock disponible,is_stocked
span,price,$505050.00,price
span,woocommerce-Price-amount amount,$505050.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro AMD Ryzen 7 9700X AM5,title
p,name product-title woocommerce-loop-product__title,Micro AMD Ryzen 7 9700X AM5,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro AMD Ryzen 7 9700X AM5,link
div,price-wrapper,$507640.00 Stock disponible,is_stocked
span,price,$507640.00,price
span,woocommerce-Price-amount amount,$507640.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core Ultra 7 265F LGA1851,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core Ultra 7 265F LGA1851,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core Ultra 7 265F LGA1851,link
div,price-wrapper,$542605.00 Stock disponible,is_stocked
span,price,$542605.00,price
span,woocommerce-Price-amount amount,$542605.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro AMD Ryzen 7 9800X3D AM5,title
p,name product-title woocommerce-loop-product__title,Micro AMD Ryzen 7 9800X3D AM5,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro AMD Ryzen 7 9800X3D AM5,link
div,price-wrapper,$757575.00 Stock disponible,is_stocked
span,price,$757575.00,price
span,woocommerce-Price-amount amount,$757575.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core i9 13900K LGA1700,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core i9 13900K LGA1700,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core i9 13900K LGA1700,link
div,price-wrapper,$815850.00 Stock disponible,is_stocked
span,price,$815850.00,price
span,woocommerce-Price-amount amount,$815850.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core i9 13900 LGA1700,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core i9 13900 LGA1700,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core i9 13900 LGA1700,link
div,price-wrapper,$906500.00 Stock disponible,is_stocked
span,price,$906500.00,price
span,woocommerce-Price-amount amount,$906500.00,price
div,stock,Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core i9 14900F LGA1700,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core i9 14900F LGA1700,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core i9 14900F LGA1700,link
div,price-wrapper,$919450.00 1 Stock disponible,is_stocked
span,price,$919450.00,price
span,woocommerce-Price-amount amount,$919450.00,price
div,stock,1 Stock disponible,is_stocked
img,attachment-woocommerce_thumbnail size-woocommerce_thumbnail,,image
div,title-wrapper,Micro Intel Core Ultra 9 285 LGA1851,title
p,name product-title woocommerce-loop-product__title,Micro Intel Core Ultra 9 285 LGA1851,title
a,woocommerce-LoopProduct-link woocommerce-loop-product__link,Micro Intel Core Ultra 9 285 LGA1851,link
div,price-wrapper,$958300.00 Stock disponible,is_stocked
span,price,$958300.00,price
div,stock,Stock disponible,is_stocked
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Monitor 24 120hz Ips Fhd Pro Mp242a E2 Msi,title
a,,Monitor 24 120hz Ips Fhd Pro Mp242a E2 Msi,link
h4,mt-0 pecio_final ft,$165.399HYPER PRECIO,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Monitor 24 100hz Fhd Ga241 1ms Cooler Master,title
a,,Monitor 24 100hz Fhd Ga241 1ms Cooler Master,link
h4,mt-0 pecio_final ft,$165.499HYPER PRECIO,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Monitor 24 Fhd 100hz Ips Va24ehf-j Black Asus,title
a,,Monitor 24 Fhd 100hz Ips Va24ehf-j Black Asus,link
h4,mt-0 pecio_final ft,$172.399HYPER PRECIO,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Monitor 24 100hz Fhd Pro Mp2412 Msi,title
a,,Monitor 24 100hz Fhd Pro Mp2412 Msi,link
h4,mt-0 pecio_final ft,$187.799HYPER PRECIO,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Monitor 24 Fhd 100hz Ips 24ms500 Lg,title
a,,Monitor 24 Fhd 100hz Ips 24ms500 Lg,link
h4,mt-0 pecio_final ft,$195.199HYPER PRECIO,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Monitor 27 180hz Ss Ips Fhd Gs27fa Gigabyte,title
a,,Monitor 27 180hz Ss Ips Fhd Gs27fa Gigabyte,link
h4,mt-0 pecio_final ft,$252.799HYPER PRECIO,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Monitor 24 180hz Ips Fhd 1ms Ultragear 24gs60f Borderless Lg,title
a,,Monitor 24 180hz Ips Fhd 1ms Ultragear 24gs60f Borderless Lg,link
h4,mt-0 pecio_final ft,$280.699HYPER PRECIO,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Monitor 27 180hz 2k Qhd Curvo Gs27qca Gigabyte,title
a,,Monitor 27 180hz 2k Qhd Curvo Gs27qca Gigabyte,link
h4,mt-0 pecio_final ft,$324.699HYPER PRECIO,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Monitor 27 280hz Fhd 0.5ms Msi Mag 276cxf Curvo,title
a,,Monitor 27 280hz Fhd 0.5ms Msi Mag 276cxf Curvo,link
h4,mt-0 pecio_final ft,$325.599HYPER PRECIO,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Monitor 27 Fhd Led 165hz Vx2718-p-mhd Viewsonic,title
a,,Monitor 27 Fhd Led 165hz Vx2718-p-mhd Viewsonic,link
h4,mt-0 pecio_final ft,$330.899HYPER PRECIO,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Monitor 24 180hz Fhd Ips 1ms 24g42e Aoc,title
a,,Monitor 24 180hz Fhd Ips 1ms 24g42e Aoc,link
h4,mt-0 pecio_final ft,$330.899HYPER PRECIO,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Monitor 32 Edge 2k Qhd Ips 1ms 170hz Gs32q Gigabyte,title
a,,Monitor 32 Edge 2k Qhd Ips 1ms 170hz Gs32q Gigabyte,link
h4,mt-0 pecio_final ft,$520.399HYPER PRECIO,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Monitor 27 180hz 2k Qhd Ips Kvm M27qa Ice Gigabyte,title
a,,Monitor 27 180hz 2k Qhd Ips Kvm M27qa Ice Gigabyte,link
h4,mt-0 pecio_final ft,$557.599HYPER PRECIO,price
img,,,
img,,,
img,img-fluid p-0 mh-100,,
img,img-fluid p-0 mh-100,,
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Cable Fuente Cooler Master 24 Pines Atx P/adaptador,title
a,,Cable Fuente Cooler Master 24 Pines Atx P/adaptador,link
img,,,image
h4,mt-0 pecio_final ft,$3.099Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,MicroSD HIKSEMI 32Gb NEO C/Adap,title
a,,MicroSD HIKSEMI 32Gb NEO C/Adap,link
img,,,image
h4,mt-0 pecio_final ft,$3.797Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,MicroSD HIKSEMI 64Gb NEO C/Adap (6096),title
a,,MicroSD HIKSEMI 64Gb NEO C/Adap (6096),link
img,,,image
h4,mt-0 pecio_final ft,$4.202Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,
img,,,
h4,mt-0 pecio_final ft,$5.430Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,MicroSD HIKSEMI 64Gb NEO PLUS P/camaras Videovigilancia (6324),title
a,,MicroSD HIKSEMI 64Gb NEO PLUS P/camaras Videovigilancia (6324),link
img,,,image
h4,mt-0 pecio_final ft,$6.477Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Memoria SODIMM DDR3 HIKSEMI 4Gb 1600 MHz Hiker 1.35V (7482),title
a,,Memoria SODIMM DDR3 HIKSEMI 4Gb 1600 MHz Hiker 1.35V (7482),link
img,,,image
h4,mt-0 pecio_final ft,$7.803Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,MicroSD HIKSEMI 64Gb Capture P/camaras Profesionales 4k (0845),title
a,,MicroSD HIKSEMI 64Gb Capture P/camaras Profesionales 4k (0845),link
img,,,image
h4,mt-0 pecio_final ft,$8.278Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Memoria DDR3 HIKSEMI 4Gb 1600 MHz Hiker 1.35V,title
a,,Memoria DDR3 HIKSEMI 4Gb 1600 MHz Hiker 1.35V,link
img,,,image
h4,mt-0 pecio_final ft,$8.390Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,CPU Cooler Kelyx Potencia Max 95W PAMD/Intel (7213),title
a,,CPU Cooler Kelyx Potencia Max 95W PAMD/Intel (7213),link
img,,,image
h4,mt-0 pecio_final ft,$8.529Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Fan Cooler Raptor Frost Slim Ring120mm PWM+ARGB Black,title
a,,Fan Cooler Raptor Frost Slim Ring120mm PWM+ARGB Black,link
img,,,image
h4,mt-0 pecio_final ft,$8.613Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,CPU Cooler Raptor Cryo RGB Potencia Max 95W P/AMD/Intel (7206),title
a,,CPU Cooler Raptor Cryo RGB Potencia Max 95W P/AMD/Intel (7206),link
img,,,image
h4,mt-0 pecio_final ft,$9.702Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Cooler Fan 120mm Argb Pmw Raidmax X-air White,title
a,,Cooler Fan 120mm Argb Pmw Raidmax X-air White,link
img,,,image
h4,mt-0 pecio_final ft,$13.863Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Memoria SODIMM DDR3 HIKSEMI 8Gb 1600 MHz Hiker 1.35V (7499),title
a,,Memoria SODIMM DDR3 HIKSEMI 8Gb 1600 MHz Hiker 1.35V (7499),link
img,,,image
h4,mt-0 pecio_final ft,$14.392Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Disco SSD HIKSEMI 120Gb Wave SATA (5549),title
a,,Disco SSD HIKSEMI 120Gb Wave SATA (5549),link
img,,,image
h4,mt-0 pecio_final ft,$14.518Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Disco SSD M.2 HIKSEMI 128Gb Wave (5648),title
a,,Disco SSD M.2 HIKSEMI 128Gb Wave (5648),link
img,,,image
h4,mt-0 pecio_final ft,$14.936Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Disco Ssd Patriot Burst Elite Solid 120 Gb Sata3 Pe000775,title
a,,Disco Ssd Patriot Burst Elite Solid 120 Gb Sata3 Pe000775,link
img,,,image
h4,mt-0 pecio_final ft,$16.205Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Base Notebook Genius G-stand M200 Black,title
a,,Base Notebook Genius G-stand M200 Black,link
img,,,image
h4,mt-0 pecio_final ft,$16.278Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Disco SSD M.2 HIKSEMI 128Gb Wave PCIE 3.0 (5693),title
a,,Disco SSD M.2 HIKSEMI 128Gb Wave PCIE 3.0 (5693),link
img,,,image
h4,mt-0 pecio_final ft,$17.086Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Fan Cooler Master Mf120 Lite Argb,title
a,,Fan Cooler Master Mf120 Lite Argb,link
img,,,image
h4,mt-0 pecio_final ft,$18.162Precio especial,price
img,img-fluid p-4 mh-100,,image
span,pull-right,En stock,is_stocked
h4,card-title mb-1 h-40*,Cooler Fan 120mm Argb Pmw Raidmax Infinita-air White,title
a,,Cooler Fan 120mm Argb Pmw Raidmax Infinita-air White,link
